Category,Section_Type,Designation,Depth_mm,Width_mm,Thickness_mm,Weight_kg_per_m
Angle,ISA_Unequal,ISA120x90x6,120,90,6,9.89
Angle,ISA_Unequal,ISA120x90x8,120,90,8,13.19
Angle,ISA_Unequal,ISA120x90x10,120,90,10,16.48
Angle,ISA_Unequal,ISA120x100x5,120,100,5,8.63
Angle,ISA_Unequal,ISA120x100x6,120,100,6,10.36
Angle,ISA_Unequal,ISA120x100x8,120,100,8,13.82
Angle,ISA_Unequal,ISA120x100x10,120,100,10,17.27
Angle,ISA_Unequal,ISA120x110x5,120,110,5,9.03
Angle,ISA_Unequal,ISA120x110x6,120,110,6,10.83
Angle,ISA_Unequal,ISA120x110x8,120,110,8,14.44
Angle,ISA_Unequal,ISA120x110x10,120,110,10,18.05
Angle,ISA_Unequal,ISA130x30x5,130,30,5,6.28
Angle,ISA_Unequal,ISA130x30x6,130,30,6,7.54
Angle,ISA_Unequal,ISA130x30x8,130,30,8,10.05
Angle,ISA_Unequal,ISA130x30x10,130,30,10,12.56
Angle,ISA_Unequal,ISA130x40x5,130,40,5,6.67
Angle,ISA_Unequal,ISA130x40x6,130,40,6,8.01
Angle,ISA_Unequal,ISA130x40x8,130,40,8,10.68
Angle,ISA_Unequal,ISA130x40x10,130,40,10,13.34
Angle,ISA_Unequal,ISA130x50x5,130,50,5,7.06
Angle,ISA_Unequal,ISA130x50x6,130,50,6,8.48
Angle,ISA_Unequal,ISA130x50x8,130,50,8,11.3
Angle,ISA_Unequal,ISA130x50x10,130,50,10,14.13
Angle,ISA_Unequal,ISA130x60x5,130,60,5,7.46
Angle,ISA_Unequal,ISA130x60x6,130,60,6,8.95
Angle,ISA_Unequal,ISA130x60x8,130,60,8,11.93
Angle,ISA_Unequal,ISA130x60x10,130,60,10,14.91
Angle,ISA_Unequal,ISA130x70x5,130,70,5,7.85
Angle,ISA_Unequal,ISA130x70x6,130,70,6,9.42
Angle,ISA_Unequal,ISA130x70x8,130,70,8,12.56
Angle,ISA_Unequal,ISA130x70x10,130,70,10,15.7
Angle,ISA_Unequal,ISA130x80x5,130,80,5,8.24
Angle,ISA_Unequal,ISA130x80x6,130,80,6,9.89
Angle,ISA_Unequal,ISA130x80x8,130,80,8,13.19
Angle,ISA_Unequal,ISA130x80x10,130,80,10,16.48
Angle,ISA_Unequal,ISA130x90x5,130,90,5,8.63
Angle,ISA_Unequal,ISA130x90x6,130,90,6,10.36
Angle,ISA_Unequal,ISA130x90x8,130,90,8,13.82
Angle,ISA_Unequal,ISA130x90x10,130,90,10,17.27
Angle,ISA_Unequal,ISA130x100x5,130,100,5,9.03
Angle,ISA_Unequal,ISA130x100x6,130,100,6,10.83
Angle,ISA_Unequal,ISA130x100x8,130,100,8,14.44
Angle,ISA_Unequal,ISA130x100x10,130,100,10,18.05
Angle,ISA_Unequal,ISA130x110x5,130,110,5,9.42
Angle,ISA_Unequal,ISA130x110x6,130,110,6,11.3
Angle,ISA_Unequal,ISA130x110x8,130,110,8,15.07
Angle,ISA_Unequal,ISA130x110x10,130,110,10,18.84
Angle,ISA_Unequal,ISA130x120x5,130,120,5,9.81
Angle,ISA_Unequal,ISA130x120x6,130,120,6,11.77
Angle,ISA_Unequal,ISA130x120x8,130,120,8,15.7
Angle,ISA_Unequal,ISA130x120x10,130,120,10,19.62
Angle,ISA_Unequal,ISA140x30x5,140,30,5,6.67
Angle,ISA_Unequal,ISA140x30x6,140,30,6,8.01
Angle,ISA_Unequal,ISA140x30x8,140,30,8,10.68
Angle,ISA_Unequal,ISA140x30x10,140,30,10,13.34
Angle,ISA_Unequal,ISA140x40x5,140,40,5,7.06
Angle,ISA_Unequal,ISA140x40x6,140,40,6,8.48
Angle,ISA_Unequal,ISA140x40x8,140,40,8,11.3
Angle,ISA_Unequal,ISA140x40x10,140,40,10,14.13
Angle,ISA_Unequal,ISA140x50x5,140,50,5,7.46
Angle,ISA_Unequal,ISA140x50x6,140,50,6,8.95
Angle,ISA_Unequal,ISA140x50x8,140,50,8,11.93
Angle,ISA_Unequal,ISA140x50x10,140,50,10,14.91
Angle,ISA_Unequal,ISA140x60x5,140,60,5,7.85
Angle,ISA_Unequal,ISA140x60x6,140,60,6,9.42
Angle,ISA_Unequal,ISA140x60x8,140,60,8,12.56
Angle,ISA_Unequal,ISA140x60x10,140,60,10,15.7
Angle,ISA_Unequal,ISA140x70x5,140,70,5,8.24
Angle,ISA_Unequal,ISA140x70x6,140,70,6,9.89
Angle,ISA_Unequal,ISA140x70x8,140,70,8,13.19
Angle,ISA_Unequal,ISA140x70x10,140,70,10,16.48
Angle,ISA_Unequal,ISA140x80x5,140,80,5,8.63
Angle,ISA_Unequal,ISA140x80x6,140,80,6,10.36
Angle,ISA_Unequal,ISA140x80x8,140,80,8,13.82
Angle,ISA_Unequal,ISA140x80x10,140,80,10,17.27
Angle,ISA_Unequal,ISA140x90x5,140,90,5,9.03
Angle,ISA_Unequal,ISA140x90x6,140,90,6,10.83
Angle,ISA_Unequal,ISA140x90x8,140,90,8,14.44
Angle,ISA_Unequal,ISA140x90x10,140,90,10,18.05
Angle,ISA_Unequal,ISA140x100x5,140,100,5,9.42
Angle,ISA_Unequal,ISA140x100x6,140,100,6,11.3
Angle,ISA_Unequal,ISA140x100x8,140,100,8,15.07
Angle,ISA_Unequal,ISA140x100x10,140,100,10,18.84
Angle,ISA_Unequal,ISA140x110x5,140,110,5,9.81
Angle,ISA_Unequal,ISA140x110x6,140,110,6,11.77
Angle,ISA_Unequal,ISA140x110x8,140,110,8,15.7
Angle,ISA_Unequal,ISA140x110x10,140,110,10,19.62
Angle,ISA_Unequal,ISA140x120x5,140,120,5,10.2
Angle,ISA_Unequal,ISA140x120x6,140,120,6,12.25
Angle,ISA_Unequal,ISA140x120x8,140,120,8,16.33
Angle,ISA_Unequal,ISA140x120x10,140,120,10,20.41
Angle,ISA_Unequal,ISA140x130x5,140,130,5,10.6
Angle,ISA_Unequal,ISA140x130x6,140,130,6,12.72
Angle,ISA_Unequal,ISA140x130x8,140,130,8,16.96
Angle,ISA_Unequal,ISA140x130x10,140,130,10,21.19
Angle,ISA_Unequal,ISA150x30x5,150,30,5,7.06
Angle,ISA_Unequal,ISA150x30x6,150,30,6,8.48
Angle,ISA_Unequal,ISA150x30x8,150,30,8,11.3
Angle,ISA_Unequal,ISA150x30x10,150,30,10,14.13
Angle,ISA_Unequal,ISA150x40x5,150,40,5,7.46
Angle,ISA_Unequal,ISA150x40x6,150,40,6,8.95
Angle,ISA_Unequal,ISA150x40x8,150,40,8,11.93
Angle,ISA_Unequal,ISA150x40x10,150,40,10,14.91
Angle,ISA_Unequal,ISA150x50x5,150,50,5,7.85
Angle,ISA_Unequal,ISA150x50x6,150,50,6,9.42
Angle,ISA_Unequal,ISA150x50x8,150,50,8,12.56
Angle,ISA_Unequal,ISA150x50x10,150,50,10,15.7
Angle,ISA_Unequal,ISA150x60x5,150,60,5,8.24
Angle,ISA_Unequal,ISA150x60x6,150,60,6,9.89
Angle,ISA_Unequal,ISA150x60x8,150,60,8,13.19
Angle,ISA_Unequal,ISA150x60x10,150,60,10,16.48
Angle,ISA_Unequal,ISA150x70x5,150,70,5,8.63
Angle,ISA_Unequal,ISA150x70x6,150,70,6,10.36
Angle,ISA_Unequal,ISA150x70x8,150,70,8,13.82
Angle,ISA_Unequal,ISA150x70x10,150,70,10,17.27
Angle,ISA_Unequal,ISA150x80x5,150,80,5,9.03
Angle,ISA_Unequal,ISA150x80x6,150,80,6,10.83
Angle,ISA_Unequal,ISA150x80x8,150,80,8,14.44
Angle,ISA_Unequal,ISA150x80x10,150,80,10,18.05
Angle,ISA_Unequal,ISA150x90x5,150,90,5,9.42
Angle,ISA_Unequal,ISA150x90x6,150,90,6,11.3
Angle,ISA_Unequal,ISA150x90x8,150,90,8,15.07
Angle,ISA_Unequal,ISA150x90x10,150,90,10,18.84
Angle,ISA_Unequal,ISA150x100x5,150,100,5,9.81
Angle,ISA_Unequal,ISA150x100x6,150,100,6,11.77
Angle,ISA_Unequal,ISA150x100x8,150,100,8,15.7
Angle,ISA_Unequal,ISA150x100x10,150,100,10,19.62
Angle,ISA_Unequal,ISA150x110x5,150,110,5,10.2
Angle,ISA_Unequal,ISA150x110x6,150,110,6,12.25
Angle,ISA_Unequal,ISA150x110x8,150,110,8,16.33
Angle,ISA_Unequal,ISA150x110x10,150,110,10,20.41
Angle,ISA_Unequal,ISA150x120x5,150,120,5,10.6
Angle,ISA_Unequal,ISA150x120x6,150,120,6,12.72
Angle,ISA_Unequal,ISA150x120x8,150,120,8,16.96
Angle,ISA_Unequal,ISA150x120x10,150,120,10,21.19
Angle,ISA_Unequal,ISA150x130x5,150,130,5,10.99
Angle,ISA_Unequal,ISA150x130x6,150,130,6,13.19
Angle,ISA_Unequal,ISA150x130x8,150,130,8,17.58
Angle,ISA_Unequal,ISA150x130x10,150,130,10,21.98
Angle,ISA_Unequal,ISA150x140x5,150,140,5,11.38
Angle,ISA_Unequal,ISA150x140x6,150,140,6,13.66
Angle,ISA_Unequal,ISA150x140x8,150,140,8,18.21
Angle,ISA_Unequal,ISA150x140x10,150,140,10,22.76
Angle,ISA_Unequal,ISA160x30x5,160,30,5,7.46
Angle,ISA_Unequal,ISA160x30x6,160,30,6,8.95
Angle,ISA_Unequal,ISA160x30x8,160,30,8,11.93
Angle,ISA_Unequal,ISA160x30x10,160,30,10,14.91
Angle,ISA_Unequal,ISA160x40x5,160,40,5,7.85
Angle,ISA_Unequal,ISA160x40x6,160,40,6,9.42
Angle,ISA_Unequal,ISA160x40x8,160,40,8,12.56
Angle,ISA_Unequal,ISA160x40x10,160,40,10,15.7
Angle,ISA_Unequal,ISA160x50x5,160,50,5,8.24
Angle,ISA_Unequal,ISA160x50x6,160,50,6,9.89
Angle,ISA_Unequal,ISA160x50x8,160,50,8,13.19
Angle,ISA_Unequal,ISA160x50x10,160,50,10,16.48
Angle,ISA_Unequal,ISA160x60x5,160,60,5,8.63
Angle,ISA_Unequal,ISA160x60x6,160,60,6,10.36
Angle,ISA_Unequal,ISA160x60x8,160,60,8,13.82
Angle,ISA_Unequal,ISA160x60x10,160,60,10,17.27
Angle,ISA_Unequal,ISA160x70x5,160,70,5,9.03
Angle,ISA_Unequal,ISA160x70x6,160,70,6,10.83
Angle,ISA_Unequal,ISA160x70x8,160,70,8,14.44
Angle,ISA_Unequal,ISA160x70x10,160,70,10,18.05
Angle,ISA_Unequal,ISA160x80x5,160,80,5,9.42
Angle,ISA_Unequal,ISA160x80x6,160,80,6,11.3
Angle,ISA_Unequal,ISA160x80x8,160,80,8,15.07
Angle,ISA_Unequal,ISA160x80x10,160,80,10,18.84
Angle,ISA_Unequal,ISA160x90x5,160,90,5,9.81
Angle,ISA_Unequal,ISA160x90x6,160,90,6,11.77
Angle,ISA_Unequal,ISA160x90x8,160,90,8,15.7
Angle,ISA_Unequal,ISA160x90x10,160,90,10,19.62
Angle,ISA_Unequal,ISA160x100x5,160,100,5,10.2
Angle,ISA_Unequal,ISA160x100x6,160,100,6,12.25
Angle,ISA_Unequal,ISA160x100x8,160,100,8,16.33
Angle,ISA_Unequal,ISA160x100x10,160,100,10,20.41
Angle,ISA_Unequal,ISA160x110x5,160,110,5,10.6
Angle,ISA_Unequal,ISA160x110x6,160,110,6,12.72
Angle,ISA_Unequal,ISA160x110x8,160,110,8,16.96
Angle,ISA_Unequal,ISA160x110x10,160,110,10,21.19
Angle,ISA_Unequal,ISA160x120x5,160,120,5,10.99
Angle,ISA_Unequal,ISA160x120x6,160,120,6,13.19
Angle,ISA_Unequal,ISA160x120x8,160,120,8,17.58
Angle,ISA_Unequal,ISA160x120x10,160,120,10,21.98
Angle,ISA_Unequal,ISA160x130x5,160,130,5,11.38
Angle,ISA_Unequal,ISA160x130x6,160,130,6,13.66
Angle,ISA_Unequal,ISA160x130x8,160,130,8,18.21
Angle,ISA_Unequal,ISA160x130x10,160,130,10,22.76
Angle,ISA_Unequal,ISA160x140x5,160,140,5,11.77
Angle,ISA_Unequal,ISA160x140x6,160,140,6,14.13
Angle,ISA_Unequal,ISA160x140x8,160,140,8,18.84
Angle,ISA_Unequal,ISA160x140x10,160,140,10,23.55
Angle,ISA_Unequal,ISA160x150x5,160,150,5,12.17
Angle,ISA_Unequal,ISA160x150x6,160,150,6,14.6
Angle,ISA_Unequal,ISA160x150x8,160,150,8,19.47
Angle,ISA_Unequal,ISA160x150x10,160,150,10,24.33
Angle,ISA_Unequal,ISA170x30x5,170,30,5,7.85
Angle,ISA_Unequal,ISA170x30x6,170,30,6,9.42
Angle,ISA_Unequal,ISA170x30x8,170,30,8,12.56
Angle,ISA_Unequal,ISA170x30x10,170,30,10,15.7
Angle,ISA_Unequal,ISA170x40x5,170,40,5,8.24
Angle,ISA_Unequal,ISA170x40x6,170,40,6,9.89
Angle,ISA_Unequal,ISA170x40x8,170,40,8,13.19
Angle,ISA_Unequal,ISA170x40x10,170,40,10,16.48
Angle,ISA_Unequal,ISA170x50x5,170,50,5,8.63
Angle,ISA_Unequal,ISA170x50x6,170,50,6,10.36
Angle,ISA_Unequal,ISA170x50x8,170,50,8,13.82
Angle,ISA_Unequal,ISA170x50x10,170,50,10,17.27
Angle,ISA_Unequal,ISA170x60x5,170,60,5,9.03
Angle,ISA_Unequal,ISA170x60x6,170,60,6,10.83
Angle,ISA_Unequal,ISA170x60x8,170,60,8,14.44
Angle,ISA_Unequal,ISA170x60x10,170,60,10,18.05
Angle,ISA_Unequal,ISA170x70x5,170,70,5,9.42
Angle,ISA_Unequal,ISA170x70x6,170,70,6,11.3
Angle,ISA_Unequal,ISA170x70x8,170,70,8,15.07
Angle,ISA_Unequal,ISA170x70x10,170,70,10,18.84
Angle,ISA_Unequal,ISA170x80x5,170,80,5,9.81
Angle,ISA_Unequal,ISA170x80x6,170,80,6,11.77
Angle,ISA_Unequal,ISA170x80x8,170,80,8,15.7
Angle,ISA_Unequal,ISA170x80x10,170,80,10,19.62
Angle,ISA_Unequal,ISA170x90x5,170,90,5,10.2
Angle,ISA_Unequal,ISA170x90x6,170,90,6,12.25
Angle,ISA_Unequal,ISA170x90x8,170,90,8,16.33
Angle,ISA_Unequal,ISA170x90x10,170,90,10,20.41
Angle,ISA_Unequal,ISA170x100x5,170,100,5,10.6
Angle,ISA_Unequal,ISA170x100x6,170,100,6,12.72
Angle,ISA_Unequal,ISA170x100x8,170,100,8,16.96
Angle,ISA_Unequal,ISA170x100x10,170,100,10,21.19
Angle,ISA_Unequal,ISA170x110x5,170,110,5,10.99
Angle,ISA_Unequal,ISA170x110x6,170,110,6,13.19
Angle,ISA_Unequal,ISA170x110x8,170,110,8,17.58
Angle,ISA_Unequal,ISA170x110x10,170,110,10,21.98
Angle,ISA_Unequal,ISA170x120x5,170,120,5,11.38
Angle,ISA_Unequal,ISA170x120x6,170,120,6,13.66
Angle,ISA_Unequal,ISA170x120x8,170,120,8,18.21
Angle,ISA_Unequal,ISA170x120x10,170,120,10,22.76
Angle,ISA_Unequal,ISA170x130x5,170,130,5,11.77
Angle,ISA_Unequal,ISA170x130x6,170,130,6,14.13
Angle,ISA_Unequal,ISA170x130x8,170,130,8,18.84
Angle,ISA_Unequal,ISA170x130x10,170,130,10,23.55
Angle,ISA_Unequal,ISA170x140x5,170,140,5,12.17
Angle,ISA_Unequal,ISA170x140x6,170,140,6,14.6
Angle,ISA_Unequal,ISA170x140x8,170,140,8,19.47
Angle,ISA_Unequal,ISA170x140x10,170,140,10,24.33
Angle,ISA_Unequal,ISA170x150x5,170,150,5,12.56
Angle,ISA_Unequal,ISA170x150x6,170,150,6,15.07
Angle,ISA_Unequal,ISA170x150x8,170,150,8,20.1
Angle,ISA_Unequal,ISA170x150x10,170,150,10,25.12
Angle,ISA_Unequal,ISA170x160x5,170,160,5,12.95
Angle,ISA_Unequal,ISA170x160x6,170,160,6,15.54
Angle,ISA_Unequal,ISA170x160x8,170,160,8,20.72
Angle,ISA_Unequal,ISA170x160x10,170,160,10,25.9
Angle,ISA_Unequal,ISA180x30x5,180,30,5,8.24
Angle,ISA_Unequal,ISA180x30x6,180,30,6,9.89
Angle,ISA_Unequal,ISA180x30x8,180,30,8,13.19
Angle,ISA_Unequal,ISA180x30x10,180,30,10,16.48
Angle,ISA_Unequal,ISA180x40x5,180,40,5,8.63
Angle,ISA_Unequal,ISA180x40x6,180,40,6,10.36
Angle,ISA_Unequal,ISA180x40x8,180,40,8,13.82
Angle,ISA_Unequal,ISA180x40x10,180,40,10,17.27
Angle,ISA_Unequal,ISA180x50x5,180,50,5,9.03
Angle,ISA_Unequal,ISA180x50x6,180,50,6,10.83
Angle,ISA_Unequal,ISA180x50x8,180,50,8,14.44
Angle,ISA_Unequal,ISA180x50x10,180,50,10,18.05
Angle,ISA_Unequal,ISA180x60x5,180,60,5,9.42
Angle,ISA_Unequal,ISA180x60x6,180,60,6,11.3
Angle,ISA_Unequal,ISA180x60x8,180,60,8,15.07
Angle,ISA_Unequal,ISA180x60x10,180,60,10,18.84
Angle,ISA_Unequal,ISA180x70x5,180,70,5,9.81
Angle,ISA_Unequal,ISA180x70x6,180,70,6,11.77
Angle,ISA_Unequal,ISA180x70x8,180,70,8,15.7
Angle,ISA_Unequal,ISA180x70x10,180,70,10,19.62
Angle,ISA_Unequal,ISA180x80x5,180,80,5,10.2
Angle,ISA_Unequal,ISA180x80x6,180,80,6,12.25
Angle,ISA_Unequal,ISA180x80x8,180,80,8,16.33
Angle,ISA_Unequal,ISA180x80x10,180,80,10,20.41
Angle,ISA_Unequal,ISA180x90x5,180,90,5,10.6
Angle,ISA_Unequal,ISA180x90x6,180,90,6,12.72
Angle,ISA_Unequal,ISA180x90x8,180,90,8,16.96
Angle,ISA_Unequal,ISA180x90x10,180,90,10,21.19
Angle,ISA_Unequal,ISA180x100x5,180,100,5,10.99
Angle,ISA_Unequal,ISA180x100x6,180,100,6,13.19
Angle,ISA_Unequal,ISA180x100x8,180,100,8,17.58
Angle,ISA_Unequal,ISA180x100x10,180,100,10,21.98
Angle,ISA_Unequal,ISA180x110x5,180,110,5,11.38
Angle,ISA_Unequal,ISA180x110x6,180,110,6,13.66
Angle,ISA_Unequal,ISA180x110x8,180,110,8,18.21
Angle,ISA_Unequal,ISA180x110x10,180,110,10,22.76
Angle,ISA_Unequal,ISA180x120x5,180,120,5,11.77
Angle,ISA_Unequal,ISA180x120x6,180,120,6,14.13
Angle,ISA_Unequal,ISA180x120x8,180,120,8,18.84
Angle,ISA_Unequal,ISA180x120x10,180,120,10,23.55
Angle,ISA_Unequal,ISA180x130x5,180,130,5,12.17
Angle,ISA_Unequal,ISA180x130x6,180,130,6,14.6
Angle,ISA_Unequal,ISA180x130x8,180,130,8,19.47
Angle,ISA_Unequal,ISA180x130x10,180,130,10,24.33
Angle,ISA_Unequal,ISA180x140x5,180,140,5,12.56
Angle,ISA_Unequal,ISA180x140x6,180,140,6,15.07
Angle,ISA_Unequal,ISA180x140x8,180,140,8,20.1
Angle,ISA_Unequal,ISA180x140x10,180,140,10,25.12
Angle,ISA_Unequal,ISA180x150x5,180,150,5,12.95
Angle,ISA_Unequal,ISA180x150x6,180,150,6,15.54
Angle,ISA_Unequal,ISA180x150x8,180,150,8,20.72
Angle,ISA_Unequal,ISA180x150x10,180,150,10,25.9
Angle,ISA_Unequal,ISA180x160x5,180,160,5,13.34
Angle,ISA_Unequal,ISA180x160x6,180,160,6,16.01
Angle,ISA_Unequal,ISA180x160x8,180,160,8,21.35
Angle,ISA_Unequal,ISA180x160x10,180,160,10,26.69
Angle,ISA_Unequal,ISA180x170x5,180,170,5,13.74
Angle,ISA_Unequal,ISA180x170x6,180,170,6,16.48
Angle,ISA_Unequal,ISA180x170x8,180,170,8,21.98
Angle,ISA_Unequal,ISA180x170x10,180,170,10,27.47
Angle,ISA_Unequal,ISA190x30x5,190,30,5,8.63
Angle,ISA_Unequal,ISA190x30x6,190,30,6,10.36
Angle,ISA_Unequal,ISA190x30x8,190,30,8,13.82
Angle,ISA_Unequal,ISA190x30x10,190,30,10,17.27
Angle,ISA_Unequal,ISA190x40x5,190,40,5,9.03
Angle,ISA_Unequal,ISA190x40x6,190,40,6,10.83
Angle,ISA_Unequal,ISA190x40x8,190,40,8,14.44
Angle,ISA_Unequal,ISA190x40x10,190,40,10,18.05
Angle,ISA_Unequal,ISA190x50x5,190,50,5,9.42
Angle,ISA_Unequal,ISA190x50x6,190,50,6,11.3
Angle,ISA_Unequal,ISA190x50x8,190,50,8,15.07
Angle,ISA_Unequal,ISA190x50x10,190,50,10,18.84
Angle,ISA_Unequal,ISA190x60x5,190,60,5,9.81
Angle,ISA_Unequal,ISA190x60x6,190,60,6,11.77
Angle,ISA_Unequal,ISA190x60x8,190,60,8,15.7
Angle,ISA_Unequal,ISA190x60x10,190,60,10,19.62
Angle,ISA_Unequal,ISA190x70x5,190,70,5,10.2
Angle,ISA_Unequal,ISA190x70x6,190,70,6,12.25
Angle,ISA_Unequal,ISA190x70x8,190,70,8,16.33
Angle,ISA_Unequal,ISA190x70x10,190,70,10,20.41
Angle,ISA_Unequal,ISA190x80x5,190,80,5,10.6
Angle,ISA_Unequal,ISA190x80x6,190,80,6,12.72
Angle,ISA_Unequal,ISA190x80x8,190,80,8,16.96
Angle,ISA_Unequal,ISA190x80x10,190,80,10,21.19
Angle,ISA_Unequal,ISA190x90x5,190,90,5,10.99
Angle,ISA_Unequal,ISA190x90x6,190,90,6,13.19
Angle,ISA_Unequal,ISA190x90x8,190,90,8,17.58
Angle,ISA_Unequal,ISA190x90x10,190,90,10,21.98
Angle,ISA_Unequal,ISA190x100x5,190,100,5,11.38
Angle,ISA_Unequal,ISA190x100x6,190,100,6,13.66
Angle,ISA_Unequal,ISA190x100x8,190,100,8,18.21
Angle,ISA_Unequal,ISA190x100x10,190,100,10,22.76
Angle,ISA_Unequal,ISA190x110x5,190,110,5,11.77
Angle,ISA_Unequal,ISA190x110x6,190,110,6,14.13
Angle,ISA_Unequal,ISA190x110x8,190,110,8,18.84
Angle,ISA_Unequal,ISA190x110x10,190,110,10,23.55
Angle,ISA_Unequal,ISA190x120x5,190,120,5,12.17
Angle,ISA_Unequal,ISA190x120x6,190,120,6,14.6
Angle,ISA_Unequal,ISA190x120x8,190,120,8,19.47
Angle,ISA_Unequal,ISA190x120x10,190,120,10,24.33
Angle,ISA_Unequal,ISA190x130x5,190,130,5,12.56
Angle,ISA_Unequal,ISA190x130x6,190,130,6,15.07
Angle,ISA_Unequal,ISA190x130x8,190,130,8,20.1
Angle,ISA_Unequal,ISA190x130x10,190,130,10,25.12
Angle,ISA_Unequal,ISA190x140x5,190,140,5,12.95
Angle,ISA_Unequal,ISA190x140x6,190,140,6,15.54
Angle,ISA_Unequal,ISA190x140x8,190,140,8,20.72
Angle,ISA_Unequal,ISA190x140x10,190,140,10,25.9
Angle,ISA_Unequal,ISA190x150x5,190,150,5,13.34
Angle,ISA_Unequal,ISA190x150x6,190,150,6,16.01
Angle,ISA_Unequal,ISA190x150x8,190,150,8,21.35
Angle,ISA_Unequal,ISA190x150x10,190,150,10,26.69
Angle,ISA_Unequal,ISA190x160x5,190,160,5,13.74
Angle,ISA_Unequal,ISA190x160x6,190,160,6,16.48
Angle,ISA_Unequal,ISA190x160x8,190,160,8,21.98
Angle,ISA_Unequal,ISA190x160x10,190,160,10,27.47
Angle,ISA_Unequal,ISA190x170x5,190,170,5,14.13
Angle,ISA_Unequal,ISA190x170x6,190,170,6,16.96
Angle,ISA_Unequal,ISA190x170x8,190,170,8,22.61
Angle,ISA_Unequal,ISA190x170x10,190,170,10,28.26
Angle,ISA_Unequal,ISA190x180x5,190,180,5,14.52
Angle,ISA_Unequal,ISA190x180x6,190,180,6,17.43
Angle,ISA_Unequal,ISA190x180x8,190,180,8,23.24
Angle,ISA_Unequal,ISA190x180x10,190,180,10,29.04
Hollow,SHS,SHS50x50x3,50,50,3,4.71
Hollow,SHS,SHS50x50x4,50,50,4,6.28
Hollow,SHS,SHS50x50x5,50,50,5,7.85
Hollow,SHS,SHS50x50x6,50,50,6,9.42
Hollow,SHS,SHS50x50x8,50,50,8,12.56
Hollow,SHS,SHS75x75x3,75,75,3,7.06
Hollow,SHS,SHS75x75x4,75,75,4,9.42
Hollow,SHS,SHS75x75x5,75,75,5,11.77
Hollow,SHS,SHS75x75x6,75,75,6,14.13
Hollow,SHS,SHS75x75x8,75,75,8,18.84
Hollow,SHS,SHS100x100x3,100,100,3,9.42
Hollow,SHS,SHS100x100x4,100,100,4,12.56
Hollow,SHS,SHS100x100x5,100,100,5,15.7
Hollow,SHS,SHS100x100x6,100,100,6,18.84
Hollow,SHS,SHS100x100x8,100,100,8,25.12
Hollow,SHS,SHS125x125x3,125,125,3,11.77
Hollow,SHS,SHS125x125x4,125,125,4,15.7
Hollow,SHS,SHS125x125x5,125,125,5,19.62
Hollow,SHS,SHS125x125x6,125,125,6,23.55
Hollow,SHS,SHS125x125x8,125,125,8,31.4
Hollow,SHS,SHS150x150x3,150,150,3,14.13
Hollow,SHS,SHS150x150x4,150,150,4,18.84
Hollow,SHS,SHS150x150x5,150,150,5,23.55
Hollow,SHS,SHS150x150x6,150,150,6,28.26
Hollow,SHS,SHS150x150x8,150,150,8,37.68
Hollow,SHS,SHS175x175x3,175,175,3,16.48
Hollow,SHS,SHS175x175x4,175,175,4,21.98
Hollow,SHS,SHS175x175x5,175,175,5,27.47
Hollow,SHS,SHS175x175x6,175,175,6,32.97
Hollow,SHS,SHS175x175x8,175,175,8,43.96
Hollow,SHS,SHS200x200x3,200,200,3,18.84
Hollow,SHS,SHS200x200x4,200,200,4,25.12
Hollow,SHS,SHS200x200x5,200,200,5,31.4
Hollow,SHS,SHS200x200x6,200,200,6,37.68
Hollow,SHS,SHS200x200x8,200,200,8,50.24
Hollow,SHS,SHS225x225x3,225,225,3,21.19
Hollow,SHS,SHS225x225x4,225,225,4,28.26
Hollow,SHS,SHS225x225x5,225,225,5,35.32
Hollow,SHS,SHS225x225x6,225,225,6,42.39
Hollow,SHS,SHS225x225x8,225,225,8,56.52
Hollow,SHS,SHS250x250x3,250,250,3,23.55
Hollow,SHS,SHS250x250x4,250,250,4,31.4
Hollow,SHS,SHS250x250x5,250,250,5,39.25
Hollow,SHS,SHS250x250x6,250,250,6,47.1
Hollow,SHS,SHS250x250x8,250,250,8,62.8
Hollow,SHS,SHS275x275x3,275,275,3,25.9
Hollow,SHS,SHS275x275x4,275,275,4,34.54
Hollow,SHS,SHS275x275x5,275,275,5,43.17
Hollow,SHS,SHS275x275x6,275,275,6,51.81
Hollow,SHS,SHS275x275x8,275,275,8,69.08
Hollow,SHS,SHS300x300x3,300,300,3,28.26
Hollow,SHS,SHS300x300x4,300,300,4,37.68
Hollow,SHS,SHS300x300x5,300,300,5,47.1
Hollow,SHS,SHS300x300x6,300,300,6,56.52
Hollow,SHS,SHS300x300x8,300,300,8,75.36
Hollow,RHS,RHS100x50x3,100,50,3,7.06
Hollow,RHS,RHS100x50x4,100,50,4,9.42
Hollow,RHS,RHS100x50x5,100,50,5,11.77
Hollow,RHS,RHS100x50x6,100,50,6,14.13
Hollow,RHS,RHS100x50x8,100,50,8,18.84
Hollow,RHS,RHS150x50x3,150,50,3,9.42
Hollow,RHS,RHS150x50x4,150,50,4,12.56
Hollow,RHS,RHS150x50x5,150,50,5,15.7
Hollow,RHS,RHS150x50x6,150,50,6,18.84
Hollow,RHS,RHS150x50x8,150,50,8,25.12
Hollow,RHS,RHS150x100x3,150,100,3,11.77
Hollow,RHS,RHS150x100x4,150,100,4,15.7
Hollow,RHS,RHS150x100x5,150,100,5,19.62
Hollow,RHS,RHS150x100x6,150,100,6,23.55
